기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20241,A,골목상권,3110135,성동세무서,526,337,189,0,63,130,138,108,87,0,29,82,80,68,78,0,34,48,58,40,9
20241,A,골목상권,3110136,경수초등학교,4708,3013,1695,7,948,1290,1134,851,478,4,460,849,773,559,368,3,488,441,361,292,110
20241,A,골목상권,3110137,성수초등학교,14279,9152,5127,20,2352,3634,3571,2871,1831,20,1305,2429,2404,1731,1263,0,1047,1205,1167,1140,568
20241,A,골목상권,3110138,송정체육공원,194,130,64,0,26,47,51,40,30,0,13,31,30,26,30,0,13,16,21,14,0
20241,A,골목상권,3110139,자양4동주민센터,60,55,5,0,0,1,15,18,26,0,0,1,12,16,26,0,0,0,3,2,0
20241,A,골목상권,3110140,건대입구역 6번,150,122,28,0,0,10,40,50,50,0,0,9,26,37,50,0,0,1,14,13,0
20241,A,골목상권,3110141,건대입구역 1번,67,46,21,0,7,10,17,23,10,0,2,5,12,18,9,0,5,5,5,5,1
20241,A,골목상권,3110142,화양사거리,54,44,10,0,4,4,16,21,9,0,2,2,14,17,9,0,2,2,2,4,0
20241,A,골목상권,3110143,뚝섬유원지역 1번,42,31,11,0,5,12,11,11,3,0,4,8,8,8,3,0,1,4,3,3,0
20241,A,골목상권,3110144,어린이대공원역 4번,28,20,8,0,3,4,7,9,5,0,1,2,5,7,5,0,2,2,2,2,0
20241,A,골목상권,3110145,장안초등학교,7,4,3,0,0,2,2,2,1,0,0,1,1,1,1,0,0,1,1,1,0
20241,A,골목상권,3110146,신자초등학교,686,509,177,0,76,183,196,176,55,0,50,131,147,133,48,0,26,52,49,43,7
20241,A,골목상권,3110147,능동우편취급국,103,59,44,0,9,21,25,23,25,0,2,11,15,13,18,0,7,10,10,10,7
20241,A,골목상권,3110148,어린이대공원역 3번,17,13,4,0,1,2,6,6,2,0,0,1,5,5,2,0,1,1,1,1,0
20241,A,골목상권,3110149,세종대학교,133,75,58,0,14,28,32,30,29,0,5,15,19,16,20,0,9,13,13,14,9
20241,A,골목상권,3110150,중곡1동 마을마당,1148,559,589,1,307,222,231,274,113,0,131,118,114,108,88,1,176,104,117,166,25
20241,A,골목상권,3110151,자양한강도서관,586,362,224,0,80,132,156,155,63,0,53,85,91,84,49,0,27,47,65,71,14
20241,A,골목상권,3110152,중곡어린이공원,193,93,100,0,51,37,39,48,18,0,22,20,19,19,13,0,29,17,20,29,5
20241,A,골목상권,3110153,중곡1동주민센터,211,102,109,0,58,41,43,49,20,0,24,22,21,19,16,0,34,19,22,30,4
20241,A,골목상권,3110154,광진정말공원,890,709,181,0,54,127,247,367,95,0,24,84,197,317,87,0,30,43,50,50,8
20241,A,골목상권,3110155,광진구청,1004,796,208,0,69,141,273,411,110,0,30,92,220,358,96,0,39,49,53,53,14
20241,A,골목상권,3110156,군자역 5번,242,156,86,0,32,60,65,48,37,0,15,37,42,30,32,0,17,23,23,18,5
20241,A,골목상권,3110157,자양동우체국,390,250,140,0,54,88,104,107,37,0,39,59,61,59,32,0,15,29,43,48,5
20241,A,골목상권,3110158,중곡3동주민센터,359,252,107,0,26,90,112,89,42,0,17,71,68,61,35,0,9,19,44,28,7
20241,A,골목상권,3110159,구의역 4번,1833,1458,375,0,117,259,500,752,205,0,52,171,402,654,179,0,65,88,98,98,26
20241,A,골목상권,3110160,광진경찰서,312,189,123,0,44,78,88,73,29,0,23,46,48,48,24,0,21,32,40,25,5
20241,A,골목상권,3110161,중곡역 3번,217,152,65,0,16,56,68,54,23,0,10,45,41,37,19,0,6,11,27,17,4
20241,A,골목상권,3110162,군자역 4번,159,94,65,0,19,32,41,40,27,0,13,19,22,21,19,0,6,13,19,19,8
20241,A,골목상권,3110163,성자초등학교,578,358,220,0,82,128,156,149,63,0,56,82,91,80,49,0,26,46,65,69,14
20241,A,골목상권,3110164,아차산역 5번,183,118,65,0,24,44,50,36,29,0,11,27,33,23,24,0,13,17,17,13,5
20241,A,골목상권,3110165,국립정신건강센터,235,139,96,0,29,47,64,57,38,0,20,27,35,31,26,0,9,20,29,26,12
20241,A,골목상권,3110166,구의1동주민센터,438,263,175,0,59,118,125,101,35,0,32,66,67,66,32,0,27,52,58,35,3
20241,A,골목상권,3110167,용마초등학교,445,263,182,0,54,90,122,108,71,0,38,52,65,59,49,0,16,38,57,49,22
20241,A,골목상권,3110168,대원고등학교,435,217,218,0,77,109,112,102,35,0,22,52,55,55,33,0,55,57,57,47,2
20241,A,골목상권,3110169,성동초등학교,687,423,264,0,87,148,174,178,100,0,56,100,109,94,64,0,31,48,65,84,36
20241,A,골목상권,3110170,동대부여고,313,198,115,0,40,84,93,74,22,0,21,52,52,52,21,0,19,32,41,22,1
20241,A,골목상권,3110171,중곡4동주민센터,170,84,86,0,29,42,44,41,14,0,8,19,21,22,14,0,21,23,23,19,0
