기준_년분기_코드,계절,상권_구분_코드_명,상권_코드_명,매출_금액,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,출근_매출_금액,점심_매출_금액,퇴근_매출_금액,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,출근_유동인구_수,점심_유동인구_수,퇴근_유동인구_수,주중_유동인구_수,주말_유동인구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수
20243,가을,골목상권,은천초등학교(은천교앞),6492062570.0,4818516244.0,1673546326.0,3535922170.0,2791598968.0,794888657.0,2515499028.0,3181674885.0,1170823,575732,595091,553631,258462,358727,819098,351725,1151,593,558
20243,가을,골목상권,방화초등학교,887387582.0,842136189.0,45251393.0,102668783.0,111918139.0,80385087.0,637231462.0,169771033.0,640033,304890,335143,309907,142821,187305,456400,183631,94,69,25
20243,가을,골목상권,방화역 3번,5198071715.0,4074079963.0,1123991752.0,2759989544.0,1998719933.0,742803263.0,2602700623.0,1852567829.0,640711,309757,330955,235250,199724,205736,459296,181416,555,433,122
20243,가을,골목상권,방화역 2번,5601646683.0,4299842837.0,1301803846.0,3302701426.0,2069587443.0,1113898480.0,2585031415.0,1902716788.0,568996,280520,288474,261428,129683,177884,404401,164595,311,248,63
20243,가을,골목상권,백산초등학교,2729338362.0,2004659402.0,724678960.0,1554717063.0,1159132028.0,228781279.0,1220787179.0,1279769904.0,407525,198868,208657,196630,88843,122052,291460,116067,198,120,78
20243,가을,전통시장,백련시장,108685184.0,90625932.0,18059252.0,79749166.0,27128442.0,580415.0,40842944.0,67261825.0,80323,36236,44088,36374,20099,23849,55959,24366,8,4,4
20243,가을,골목상권,연산군묘,723732628.0,446760926.0,276971702.0,384554894.0,321406376.0,52277316.0,388351202.0,283104110.0,23824,10580,13246,9349,7255,7221,15206,8618,144,87,57
20243,가을,골목상권,광나루역 1번,4166211926.0,3247107417.0,919104509.0,1944292487.0,1699911079.0,474808359.0,2444137520.0,1247266047.0,384882,172864,212018,196404,90228,98249,279396,105485,908,548,360
20243,가을,골목상권,관악해태어린이공원,1465059883.0,1012655613.0,452404270.0,1047092801.0,396439725.0,344859148.0,385220185.0,734980550.0,1172625,688417,484209,617859,237383,317383,819063,353561,227,132,95
20243,가을,골목상권,경향신문사,3530965031.0,3025964182.0,505000849.0,1438789175.0,1414873295.0,414527662.0,2323072294.0,793365075.0,26718,12735,13983,8582,12509,5626,22899,3817,4022,2135,1887
